"","vdmde1z","vdmde2z","vdmde3","vdmde4z","vdmde5z","vdmre1z","vdmre2z","ethlang","mplusid"
"1",0.499669428247598,0.119832985546338,1,0.363318174358287,0.333046871949398,0.999767549540929,0.39979445448053,1,1
"2",0.699603313910353,0.559714459131375,1,0.817696160874605,0.333046871949398,0.89978304623908,0.733051659870892,2,2
"3",0.0998016569220874,0.0798437606749711,0,0.635944966268078,0.166437497525997,0.949775297890005,0.533097336636675,2,3
"4",-0.00016528590929023,0.0798437606749711,0,-0.000184214854768318,-0.000171876897404828,0.499845033031685,0.466445895558602,2,4
"5",-0.00016528590929023,-0.00013468906776294,1,-0.000184214854768318,-0.000171876897404828,0.54983728468261,0.466445895558602,2,5
"6",0.39970248541622,0.479736009388641,1,-0.000184214854768318,-0.000171876897404828,0.89978304623908,0.733051659870892,2,6
"7",0.79957025674173,0.519725234260008,1,0.999447355481133,0.333046871949398,0.999767549540929,0.799703100948965,1,7
"8",0.699603313910353,0.239800660160439,0,0.45419377166155,0.832874995219602,0.999767549540929,0.533097336636675,1,8
"9",0.599636371078975,0.199811435289072,1,0.181566979751759,0.333046871949398,0.89978304623908,0.599748777714747,3,9
"10",-0.00016528590929023,-0.00013468906776294,1,-0.000184214854768318,-0.000171876897404828,0.499845033031685,0.533097336636675,3,10
"11",0.39970248541622,0.519725234260008,1,0.999447355481133,0.416351559161099,0.949775297890005,0.799703100948965,1,11
"12",-0.00016528590929023,-0.00013468906776294,1,-0.000184214854768318,-0.000171876897404828,0.649821787984459,0.533097336636675,3,12
"13",0.699603313910353,0.35976833477454,1,0.635944966268078,0.666265620796201,0.89978304623908,0.533097336636675,2,13
"14",0.299735542584842,-0.00013468906776294,1,-0.000184214854768318,-0.000171876897404828,0.949775297890005,0.66640021879282,2,14
"15",NA,NA,1,NA,NA,NA,NA,2,15
"16",0.199768599753465,-0.00013468906776294,1,0.272442577055023,0.5829609335845,0.89978304623908,0.733051659870892,3,16
"17",0.39970248541622,0.35976833477454,1,0.635944966268078,0.333046871949398,0.999767549540929,0.799703100948965,1,17
"18",-0.00016528590929023,0.0398545358036041,1,0.363318174358287,0.333046871949398,0.749806291286307,0.466445895558602,2,18
"19",0.199768599753465,0.0398545358036041,1,0.363318174358287,0.166437497525997,0.849790794588156,0.599748777714747,2,19
"20",0.199768599753465,0.239800660160439,1,0.999447355481133,0.499656246372799,0.89978304623908,0.66640021879282,1,20
"21",0.699603313910353,0.319779109903173,0,0.817696160874605,-0.000171876897404828,0.949775297890005,0.93300598310511,1,21
"22",0.699603313910353,0.0798437606749711,1,0.635944966268078,0.333046871949398,0.949775297890005,0.866354542027038,1,22
"23",0.299735542584842,0.0798437606749711,1,0.181566979751759,0.333046871949398,0.849790794588156,0.599748777714747,1,23
"24",-0.00016528590929023,0.0398545358036041,1,0.272442577055023,0.166437497525997,0.649821787984459,0.533097336636675,2,24
"25",0.79957025674173,0.439746784517274,1,-0.000184214854768318,0.499656246372799,0.949775297890005,NA,3,28
"26",0.39970248541622,0.399757559645907,0,0.635944966268078,0.333046871949398,0.949775297890005,0.66640021879282,3,29
"27",0.599636371078975,0.0398545358036041,1,0.635944966268078,0.416351559161099,0.999767549540929,0.733051659870892,1,30
"28",0.299735542584842,0.439746784517274,1,0.999447355481133,0.333046871949398,0.799798542937232,0.733051659870892,3,31
"29",0.39970248541622,0.599703684002742,1,0.635944966268078,0.499656246372799,0.999767549540929,0.866354542027038,3,32
"30",0.499669428247598,0.519725234260008,1,0.999447355481133,0.333046871949398,0.89978304623908,0.866354542027038,3,33
"31",-0.00016528590929023,0.239800660160439,0,0.0906913824484954,0.832874995219602,0.599829536333534,0.733051659870892,2,34
"32",-0.00016528590929023,0.0798437606749711,1,0.181566979751759,0.166437497525997,0.699814039635383,0.599748777714747,2,35
"33",0.39970248541622,0.35976833477454,1,0.999447355481133,0.666265620796201,0.999767549540929,0.733051659870892,2,36
"34",0.999504142404486,0.559714459131375,1,0.999447355481133,0.999484369643004,0.949775297890005,0.66640021879282,2,37
"35",0.299735542584842,0.0398545358036041,1,0.363318174358287,0.166437497525997,0.849790794588156,0.466445895558602,2,38
"36",0.0998016569220874,0.119832985546338,1,0.363318174358287,0.666265620796201,0.849790794588156,0.533097336636675,2,39
"37",-0.00016528590929023,0.159822210417705,0,0.272442577055023,-0.000171876897404828,0.749806291286307,0.599748777714747,2,41
"38",0.599636371078975,0.319779109903173,1,0.363318174358287,0.333046871949398,0.999767549540929,0.66640021879282,2,42
"39",0.599636371078975,0.519725234260008,1,0.45419377166155,0.666265620796201,0.999767549540929,0.93300598310511,3,43
"40",-0.00016528590929023,0.0398545358036041,0,0.272442577055023,-0.000171876897404828,0.89978304623908,0.39979445448053,2,44
"41",0.39970248541622,0.319779109903173,1,0.999447355481133,-0.000171876897404828,0.849790794588156,0.799703100948965,2,46
"42",NA,NA,0,NA,NA,NA,NA,2,47
"43",0.599636371078975,0.159822210417705,1,0.817696160874605,0.5829609335845,0.949775297890005,0.599748777714747,1,48
"44",0.39970248541622,0.199811435289072,1,0.545069368964814,0.0831328103142959,0.799798542937232,0.533097336636675,1,49
"45",0.599636371078975,-0.00013468906776294,1,0.45419377166155,0.499656246372799,0.89978304623908,0.733051659870892,2,52
"46",0.499669428247598,0.0798437606749711,1,0.635944966268078,0.166437497525997,0.949775297890005,0.333143013402457,3,53
"47",0.299735542584842,0.199811435289072,1,0.545069368964814,0.499656246372799,0.949775297890005,0.39979445448053,3,54
"48",-0.00016528590929023,NA,1,-0.000184214854768318,0.499656246372799,0.699814039635383,0.599748777714747,1,55
"49",0.699603313910353,0.239800660160439,0,0.272442577055023,0.166437497525997,0.949775297890005,0.599748777714747,2,56
"50",-0.00016528590929023,-0.00013468906776294,0,0.181566979751759,-0.000171876897404828,0.849790794588156,0.599748777714747,2,57
"51",0.499669428247598,-0.00013468906776294,1,0.181566979751759,0.333046871949398,0.999767549540929,0.66640021879282,1,58
"52",0.299735542584842,0.0798437606749711,1,0.635944966268078,0.166437497525997,0.89978304623908,0.799703100948965,3,59
"53",0.0998016569220874,-0.00013468906776294,1,-0.000184214854768318,0.166437497525997,0.799798542937232,0.333143013402457,2,61
"54",0.0998016569220874,0.0398545358036041,1,0.363318174358287,0.249742184737697,0.599829536333534,0.533097336636675,2,62
"55",0.599636371078975,0.479736009388641,1,0.272442577055023,0.832874995219602,0.999767549540929,0.733051659870892,2,63
"56",0.599636371078975,0.319779109903173,1,0.272442577055023,0.499656246372799,0.949775297890005,0.93300598310511,2,64
"57",-0.00016528590929023,-0.00013468906776294,1,-0.000184214854768318,-0.000171876897404828,0.999767549540929,0.66640021879282,2,65
